"1,Robert J Margalis,24,6135,SPM,Men,2007"
"2,Jarrod R Shoemaker,24,5235,NEM"
"3,Edward (Ted) J Bradley,23,5125,SPM"
"4,Corey L Welch,23,5110,FINS"
"5,J J Kaye,21,5100,UCLA"
"6,Michael O'Connor,18,4975,IAMP"
"7,Pablo Fuentenebro,24,4655,UCLA"
"8,Craig R Charley,23,4630,VMST"
"9,Peter Z Maves,23,4490,MINN"
"10,Tony White,22,4460,SKY"
"11,Jonathan J Morris,20,4440,CMAM"
"12,Kevin M Pearson,24,4400,OREG"
"13,Thomas T Wong,19,4395,UCLA"
"14,Eric M Clarkson,24,4350,CRUZ"
"15,Bobby Alexis,18,4300,UCLA"
"16,Andrew B Ramsay,21,4250,UCLA"
"17,Casey Griffiths,23,4150,MICH"
"18,Nicholas I Normandin,21,4000,NEM"
"19,Matthew T Miller,19,3700,UCLA"
"20,Adam F Butt,20,3360,BAFY"
"21,James T Fetter,22,3285,IAMP"
"22,Kyle C Ingraham,22,3275,MOST"
"23,Joshua Eudailey,24,2500,NCMS"
"1,Joe B Trapp,26,5740,NAVY"
"2,David E Kuendig,26,5515,SKY"
"3,David W Reid,29,5150,CRUZ"
"4,Mark L Amott,27,5125,UCLA"
"5,Bill A May,28,5000,HSNM"
"6,Nathan J Boal,29,4945,OREG"
"7,Mike D Ash,26,4940,UCLA"
"8,Todd M Darlington,25,4835,ISF"
"9,Pieter A DeHart,28,4825,NEM"
"10,Tyler D Burbridge,27,4775,NEM"
"11,Brad Zoller,29,4710,IM"
"12,Peter Borak,25,4590,MELO"
"13,Chris McKee,27,4545,MOST"
"14,Andy Kern,28,4505,NEM"
"15,Michael J Foley,27,4460,UCLA"
"16,Devin R Maher,25,4450,UNAT"
"17,Vanja Sikirica,27,4400,JAM"
"18,Shaun M Guest,25,4340,CRUZ"
"19,Dominic Guagenti,28,4335,IM"
"20,Lorenzo Ubaldi,25,4330,CRUZ"
"21,Larry D Baeder,25,4255,CRUZ"
"22,Joshua E Saak,29,4195,NCMS"
"23,Emmit M Hancock,28,4110,MELO"
"24,Jeremy M Leslie,26,4100,UNAT"
"25,Quentin Chu,29,4095,REDT"
"26,Adam Perry,28,4050,NAVY"
"27,Kennon B Williams,25,4035,FLAQ"
"28,Emery Y Chuang,25,4020,REDT"
"29,Patrick A Morgan,27,4000,ISF"
"30,Kevin Clark,28,3990,LBG"
"30,Enrique A Ochoa,25,3990,LBG"
"32,Hidetomo Sekine,25,3980,*SC"
"32,Stuart A Sievers,26,3980,UCLA"
